ORIG_AIRPORT_CD,DEST_AIRPORT_CD,CARRIER_CD,FLT_NBR,FLT_DPT_DT,SUB_CLASS_CD,SUB_CLASS_PRICE,CLASS_CD,CURRENCY,ETL_PROC_DT
CSX,TAO,MU ,6096 ,2022/08/16 00:00:00.000000000,Z,0,Y,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6408 ,2022/08/09 00:00:00.000000000,A,0,F,CNY       ,2022/08/09 09:35:10.000000000
CSX,TAO,MU ,6408 ,2022/08/09 00:00:00.000000000,B,1360,Y,CNY       ,2022/08/09 09:35:10.000000000
CSX,TAO,MU ,6408 ,2022/08/09 00:00:00.000000000,C,2110,C,CNY       ,2022/08/09 09:35:10.000000000
CSX,TAO,MU ,6408 ,2022/08/09 00:00:00.000000000,D,1960,C,CNY       ,2022/08/09 09:35:10.000000000
CSX,TAO,MU ,6408 ,2022/08/09 00:00:00.000000000,E,1050,Y,CNY       ,2022/08/09 09:35:10.000000000
CSX,TAO,MU ,6408 ,2022/08/09 00:00:00.000000000,F,3320,F,CNY       ,2022/08/09 09:35:10.000000000
CSX,TAO,MU ,6408 ,2022/08/09 00:00:00.000000000,G,0,Y,CNY       ,2022/08/09 09:35:10.000000000
CSX,TAO,MU ,6408 ,2022/08/09 00:00:00.000000000,H,0,Y,CNY       ,2022/08/09 09:35:10.000000000
CSX,TAO,MU ,6408 ,2022/08/09 00:00:00.000000000,I,1040,C,CNY       ,2022/08/09 09:35:10.000000000
CSX,TAO,MU ,6408 ,2022/08/09 00:00:00.000000000,J,2990,C,CNY       ,2022/08/09 09:35:10.000000000
CSX,TAO,MU ,6408 ,2022/08/09 00:00:00.000000000,K,930,Y,CNY       ,2022/08/09 09:35:10.000000000
CSX,TAO,MU ,6408 ,2022/08/09 00:00:00.000000000,L,850,Y,CNY       ,2022/08/09 09:35:10.000000000
CSX,TAO,MU ,6408 ,2022/08/09 00:00:00.000000000,M,1200,Y,CNY       ,2022/08/09 09:35:10.000000000
CSX,TAO,MU ,6408 ,2022/08/09 00:00:00.000000000,N,770,Y,CNY       ,2022/08/09 09:35:10.000000000
CSX,TAO,MU ,6408 ,2022/08/09 00:00:00.000000000,O,0,C,CNY       ,2022/08/09 09:35:10.000000000
CSX,TAO,MU ,6408 ,2022/08/09 00:00:00.000000000,P,604,F,CNY       ,2022/08/09 09:35:10.000000000
CSX,TAO,MU ,6408 ,2022/08/09 00:00:00.000000000,Q,1194,C,CNY       ,2022/08/09 09:35:10.000000000
CSX,TAO,MU ,6408 ,2022/08/09 00:00:00.000000000,R,670,Y,CNY       ,2022/08/09 09:35:10.000000000
CSX,TAO,MU ,6408 ,2022/08/09 00:00:00.000000000,S,590,Y,CNY       ,2022/08/09 09:35:10.000000000
CSX,TAO,MU ,6408 ,2022/08/09 00:00:00.000000000,T,470,Y,CNY       ,2022/08/09 09:35:10.000000000
CSX,TAO,MU ,6408 ,2022/08/09 00:00:00.000000000,U,3020,F,CNY       ,2022/08/09 09:35:10.000000000
CSX,TAO,MU ,6408 ,2022/08/09 00:00:00.000000000,V,510,Y,CNY       ,2022/08/09 09:35:10.000000000
CSX,TAO,MU ,6408 ,2022/08/09 00:00:00.000000000,W,1510,Y,CNY       ,2022/08/09 09:35:10.000000000
CSX,TAO,MU ,6408 ,2022/08/09 00:00:00.000000000,X,0,Y,CNY       ,2022/08/09 09:35:10.000000000
CSX,TAO,MU ,6408 ,2022/08/09 00:00:00.000000000,Y,1510,Y,CNY       ,2022/08/09 09:35:10.000000000
CSX,TAO,MU ,6408 ,2022/08/09 00:00:00.000000000,Z,0,Y,CNY       ,2022/08/09 09:35:10.000000000
CSX,TAO,MU ,6408 ,2022/08/10 00:00:00.000000000,A,0,F,CNY       ,2022/08/10 09:38:33.000000000
CSX,TAO,MU ,6408 ,2022/08/10 00:00:00.000000000,B,1360,Y,CNY       ,2022/08/10 09:38:33.000000000
CSX,TAO,MU ,6408 ,2022/08/10 00:00:00.000000000,C,2110,C,CNY       ,2022/08/10 09:38:33.000000000
CSX,TAO,MU ,6408 ,2022/08/10 00:00:00.000000000,D,1960,C,CNY       ,2022/08/10 09:38:33.000000000
CSX,TAO,MU ,6408 ,2022/08/10 00:00:00.000000000,E,1050,Y,CNY       ,2022/08/10 09:38:33.000000000
CSX,TAO,MU ,6408 ,2022/08/10 00:00:00.000000000,F,3320,F,CNY       ,2022/08/10 09:38:33.000000000
CSX,TAO,MU ,6408 ,2022/08/10 00:00:00.000000000,G,0,Y,CNY       ,2022/08/10 09:38:33.000000000
CSX,TAO,MU ,6408 ,2022/08/10 00:00:00.000000000,H,0,Y,CNY       ,2022/08/10 09:38:33.000000000
CSX,TAO,MU ,6408 ,2022/08/10 00:00:00.000000000,I,1020,C,CNY       ,2022/08/10 09:38:33.000000000
CSX,TAO,MU ,6408 ,2022/08/10 00:00:00.000000000,J,2990,C,CNY       ,2022/08/10 09:38:33.000000000
CSX,TAO,MU ,6408 ,2022/08/10 00:00:00.000000000,K,930,Y,CNY       ,2022/08/10 09:38:33.000000000
CSX,TAO,MU ,6408 ,2022/08/10 00:00:00.000000000,L,850,Y,CNY       ,2022/08/10 09:38:33.000000000
CSX,TAO,MU ,6408 ,2022/08/10 00:00:00.000000000,M,1200,Y,CNY       ,2022/08/10 09:38:33.000000000
CSX,TAO,MU ,6408 ,2022/08/10 00:00:00.000000000,N,770,Y,CNY       ,2022/08/10 09:38:33.000000000
CSX,TAO,MU ,6408 ,2022/08/10 00:00:00.000000000,O,0,C,CNY       ,2022/08/10 09:38:33.000000000
CSX,TAO,MU ,6408 ,2022/08/10 00:00:00.000000000,P,604,F,CNY       ,2022/08/10 09:38:33.000000000
CSX,TAO,MU ,6408 ,2022/08/10 00:00:00.000000000,Q,1194,C,CNY       ,2022/08/10 09:38:33.000000000
CSX,TAO,MU ,6408 ,2022/08/10 00:00:00.000000000,R,670,Y,CNY       ,2022/08/10 09:38:33.000000000
CSX,TAO,MU ,6408 ,2022/08/10 00:00:00.000000000,S,590,Y,CNY       ,2022/08/10 09:38:33.000000000
CSX,TAO,MU ,6408 ,2022/08/10 00:00:00.000000000,T,470,Y,CNY       ,2022/08/10 09:38:33.000000000
CSX,TAO,MU ,6408 ,2022/08/10 00:00:00.000000000,U,3020,F,CNY       ,2022/08/10 09:38:33.000000000
CSX,TAO,MU ,6408 ,2022/08/10 00:00:00.000000000,V,510,Y,CNY       ,2022/08/10 09:38:33.000000000
CSX,TAO,MU ,6408 ,2022/08/10 00:00:00.000000000,W,1510,Y,CNY       ,2022/08/10 09:38:33.000000000
CSX,TAO,MU ,6408 ,2022/08/10 00:00:00.000000000,X,0,Y,CNY       ,2022/08/10 09:38:33.000000000
CSX,TAO,MU ,6408 ,2022/08/10 00:00:00.000000000,Y,1510,Y,CNY       ,2022/08/10 09:38:33.000000000
CSX,TAO,MU ,6408 ,2022/08/10 00:00:00.000000000,Z,390,Y,CNY       ,2022/08/10 09:38:33.000000000
CSX,TAO,MU ,6408 ,2022/08/11 00:00:00.000000000,A,0,F,CNY       ,2022/08/11 09:40:24.000000000
CSX,TAO,MU ,6408 ,2022/08/11 00:00:00.000000000,B,1360,Y,CNY       ,2022/08/11 09:40:24.000000000
CSX,TAO,MU ,6408 ,2022/08/11 00:00:00.000000000,C,2110,C,CNY       ,2022/08/11 09:40:24.000000000
CSX,TAO,MU ,6408 ,2022/08/11 00:00:00.000000000,D,1960,C,CNY       ,2022/08/11 09:40:24.000000000
CSX,TAO,MU ,6408 ,2022/08/11 00:00:00.000000000,E,1050,Y,CNY       ,2022/08/11 09:40:24.000000000
CSX,TAO,MU ,6408 ,2022/08/11 00:00:00.000000000,F,3320,F,CNY       ,2022/08/11 09:40:24.000000000
CSX,TAO,MU ,6408 ,2022/08/11 00:00:00.000000000,G,0,Y,CNY       ,2022/08/11 09:40:24.000000000
CSX,TAO,MU ,6408 ,2022/08/11 00:00:00.000000000,H,0,Y,CNY       ,2022/08/11 09:40:24.000000000
CSX,TAO,MU ,6408 ,2022/08/11 00:00:00.000000000,I,1040,C,CNY       ,2022/08/11 09:40:24.000000000
CSX,TAO,MU ,6408 ,2022/08/11 00:00:00.000000000,J,2990,C,CNY       ,2022/08/11 09:40:24.000000000
CSX,TAO,MU ,6408 ,2022/08/11 00:00:00.000000000,K,930,Y,CNY       ,2022/08/11 09:40:24.000000000
CSX,TAO,MU ,6408 ,2022/08/11 00:00:00.000000000,L,850,Y,CNY       ,2022/08/11 09:40:24.000000000
CSX,TAO,MU ,6408 ,2022/08/11 00:00:00.000000000,M,1200,Y,CNY       ,2022/08/11 09:40:24.000000000
CSX,TAO,MU ,6408 ,2022/08/11 00:00:00.000000000,N,770,Y,CNY       ,2022/08/11 09:40:24.000000000
CSX,TAO,MU ,6408 ,2022/08/11 00:00:00.000000000,O,0,C,CNY       ,2022/08/11 09:40:24.000000000
CSX,TAO,MU ,6408 ,2022/08/11 00:00:00.000000000,P,604,F,CNY       ,2022/08/11 09:40:24.000000000
CSX,TAO,MU ,6408 ,2022/08/11 00:00:00.000000000,Q,1190,C,CNY       ,2022/08/11 09:40:24.000000000
CSX,TAO,MU ,6408 ,2022/08/11 00:00:00.000000000,R,670,Y,CNY       ,2022/08/11 09:40:24.000000000
CSX,TAO,MU ,6408 ,2022/08/11 00:00:00.000000000,S,590,Y,CNY       ,2022/08/11 09:40:24.000000000
CSX,TAO,MU ,6408 ,2022/08/11 00:00:00.000000000,T,470,Y,CNY       ,2022/08/11 09:40:24.000000000
CSX,TAO,MU ,6408 ,2022/08/11 00:00:00.000000000,U,3020,F,CNY       ,2022/08/11 09:40:24.000000000
CSX,TAO,MU ,6408 ,2022/08/11 00:00:00.000000000,V,510,Y,CNY       ,2022/08/11 09:40:24.000000000
CSX,TAO,MU ,6408 ,2022/08/11 00:00:00.000000000,W,1510,Y,CNY       ,2022/08/11 09:40:24.000000000
CSX,TAO,MU ,6408 ,2022/08/11 00:00:00.000000000,X,0,Y,CNY       ,2022/08/11 09:40:24.000000000
CSX,TAO,MU ,6408 ,2022/08/11 00:00:00.000000000,Y,1510,Y,CNY       ,2022/08/11 09:40:24.000000000
CSX,TAO,MU ,6408 ,2022/08/11 00:00:00.000000000,Z,390,Y,CNY       ,2022/08/11 09:40:24.000000000
CSX,TAO,MU ,6408 ,2022/08/12 00:00:00.000000000,A,0,F,CNY       ,2022/08/12 09:50:10.000000000
CSX,TAO,MU ,6408 ,2022/08/12 00:00:00.000000000,B,1360,Y,CNY       ,2022/08/12 09:50:10.000000000
CSX,TAO,MU ,6408 ,2022/08/12 00:00:00.000000000,C,2110,C,CNY       ,2022/08/12 09:50:10.000000000
CSX,TAO,MU ,6408 ,2022/08/12 00:00:00.000000000,D,1960,C,CNY       ,2022/08/12 09:50:10.000000000
CSX,TAO,MU ,6408 ,2022/08/12 00:00:00.000000000,E,1050,Y,CNY       ,2022/08/12 09:50:10.000000000
CSX,TAO,MU ,6408 ,2022/08/12 00:00:00.000000000,F,3320,F,CNY       ,2022/08/12 09:50:10.000000000
CSX,TAO,MU ,6408 ,2022/08/12 00:00:00.000000000,G,0,Y,CNY       ,2022/08/12 09:50:10.000000000
CSX,TAO,MU ,6408 ,2022/08/12 00:00:00.000000000,H,0,Y,CNY       ,2022/08/12 09:50:10.000000000
CSX,TAO,MU ,6408 ,2022/08/12 00:00:00.000000000,I,1050,C,CNY       ,2022/08/12 09:50:10.000000000
CSX,TAO,MU ,6408 ,2022/08/12 00:00:00.000000000,J,2990,C,CNY       ,2022/08/12 09:50:10.000000000
CSX,TAO,MU ,6408 ,2022/08/12 00:00:00.000000000,K,930,Y,CNY       ,2022/08/12 09:50:10.000000000
CSX,TAO,MU ,6408 ,2022/08/12 00:00:00.000000000,L,850,Y,CNY       ,2022/08/12 09:50:10.000000000
CSX,TAO,MU ,6408 ,2022/08/12 00:00:00.000000000,M,1200,Y,CNY       ,2022/08/12 09:50:10.000000000
CSX,TAO,MU ,6408 ,2022/08/12 00:00:00.000000000,N,770,Y,CNY       ,2022/08/12 09:50:10.000000000
CSX,TAO,MU ,6408 ,2022/08/12 00:00:00.000000000,O,0,C,CNY       ,2022/08/12 09:50:10.000000000
CSX,TAO,MU ,6408 ,2022/08/12 00:00:00.000000000,P,604,F,CNY       ,2022/08/12 09:50:10.000000000
CSX,TAO,MU ,6408 ,2022/08/12 00:00:00.000000000,Q,1190,C,CNY       ,2022/08/12 09:50:10.000000000
CSX,TAO,MU ,6408 ,2022/08/12 00:00:00.000000000,R,670,Y,CNY       ,2022/08/12 09:50:10.000000000
CSX,TAO,MU ,6408 ,2022/08/12 00:00:00.000000000,S,590,Y,CNY       ,2022/08/12 09:50:10.000000000
CSX,TAO,MU ,6408 ,2022/08/12 00:00:00.000000000,T,470,Y,CNY       ,2022/08/12 09:50:10.000000000
CSX,TAO,MU ,6408 ,2022/08/12 00:00:00.000000000,U,3020,F,CNY       ,2022/08/12 09:50:10.000000000
CSX,TAO,MU ,6408 ,2022/08/12 00:00:00.000000000,V,510,Y,CNY       ,2022/08/12 09:50:10.000000000
CSX,TAO,MU ,6408 ,2022/08/12 00:00:00.000000000,W,1510,Y,CNY       ,2022/08/12 09:50:10.000000000
CSX,TAO,MU ,6408 ,2022/08/12 00:00:00.000000000,X,0,Y,CNY       ,2022/08/12 09:50:10.000000000
CSX,TAO,MU ,6408 ,2022/08/12 00:00:00.000000000,Y,1510,Y,CNY       ,2022/08/12 09:50:10.000000000
CSX,TAO,MU ,6408 ,2022/08/12 00:00:00.000000000,Z,390,Y,CNY       ,2022/08/12 09:50:10.000000000
CSX,TAO,MU ,6408 ,2022/08/13 00:00:00.000000000,A,0,F,CNY       ,2022/08/13 09:37:05.000000000
CSX,TAO,MU ,6408 ,2022/08/13 00:00:00.000000000,B,1360,Y,CNY       ,2022/08/13 09:37:05.000000000
CSX,TAO,MU ,6408 ,2022/08/13 00:00:00.000000000,C,2110,C,CNY       ,2022/08/13 09:37:05.000000000
CSX,TAO,MU ,6408 ,2022/08/13 00:00:00.000000000,D,1960,C,CNY       ,2022/08/13 09:37:05.000000000
CSX,TAO,MU ,6408 ,2022/08/13 00:00:00.000000000,E,1050,Y,CNY       ,2022/08/13 09:37:05.000000000
CSX,TAO,MU ,6408 ,2022/08/13 00:00:00.000000000,F,3320,F,CNY       ,2022/08/13 09:37:05.000000000
CSX,TAO,MU ,6408 ,2022/08/13 00:00:00.000000000,G,0,Y,CNY       ,2022/08/13 09:37:05.000000000
CSX,TAO,MU ,6408 ,2022/08/13 00:00:00.000000000,H,0,Y,CNY       ,2022/08/13 09:37:05.000000000
CSX,TAO,MU ,6408 ,2022/08/13 00:00:00.000000000,I,1040,C,CNY       ,2022/08/13 09:37:05.000000000
CSX,TAO,MU ,6408 ,2022/08/13 00:00:00.000000000,J,2990,C,CNY       ,2022/08/13 09:37:05.000000000
CSX,TAO,MU ,6408 ,2022/08/13 00:00:00.000000000,K,930,Y,CNY       ,2022/08/13 09:37:05.000000000
CSX,TAO,MU ,6408 ,2022/08/13 00:00:00.000000000,L,850,Y,CNY       ,2022/08/13 09:37:05.000000000
CSX,TAO,MU ,6408 ,2022/08/13 00:00:00.000000000,M,1200,Y,CNY       ,2022/08/13 09:37:05.000000000
CSX,TAO,MU ,6408 ,2022/08/13 00:00:00.000000000,N,770,Y,CNY       ,2022/08/13 09:37:05.000000000
CSX,TAO,MU ,6408 ,2022/08/13 00:00:00.000000000,O,0,C,CNY       ,2022/08/13 09:37:05.000000000
CSX,TAO,MU ,6408 ,2022/08/13 00:00:00.000000000,P,604,F,CNY       ,2022/08/13 09:37:05.000000000
CSX,TAO,MU ,6408 ,2022/08/13 00:00:00.000000000,Q,1190,C,CNY       ,2022/08/13 09:37:05.000000000
CSX,TAO,MU ,6408 ,2022/08/13 00:00:00.000000000,R,670,Y,CNY       ,2022/08/13 09:37:05.000000000
CSX,TAO,MU ,6408 ,2022/08/13 00:00:00.000000000,S,590,Y,CNY       ,2022/08/13 09:37:05.000000000
CSX,TAO,MU ,6408 ,2022/08/13 00:00:00.000000000,T,470,Y,CNY       ,2022/08/13 09:37:05.000000000
CSX,TAO,MU ,6408 ,2022/08/13 00:00:00.000000000,U,3020,F,CNY       ,2022/08/13 09:37:05.000000000
CSX,TAO,MU ,6408 ,2022/08/13 00:00:00.000000000,V,510,Y,CNY       ,2022/08/13 09:37:05.000000000
CSX,TAO,MU ,6408 ,2022/08/13 00:00:00.000000000,W,1510,Y,CNY       ,2022/08/13 09:37:05.000000000
CSX,TAO,MU ,6408 ,2022/08/13 00:00:00.000000000,X,0,Y,CNY       ,2022/08/13 09:37:05.000000000
CSX,TAO,MU ,6408 ,2022/08/13 00:00:00.000000000,Y,1510,Y,CNY       ,2022/08/13 09:37:05.000000000
CSX,TAO,MU ,6408 ,2022/08/13 00:00:00.000000000,Z,390,Y,CNY       ,2022/08/13 09:37:05.000000000
CSX,TAO,MU ,6408 ,2022/08/14 00:00:00.000000000,A,0,F,CNY       ,2022/08/14 09:36:43.000000000
CSX,TAO,MU ,6408 ,2022/08/14 00:00:00.000000000,B,1360,Y,CNY       ,2022/08/14 09:36:43.000000000
CSX,TAO,MU ,6408 ,2022/08/14 00:00:00.000000000,C,2110,C,CNY       ,2022/08/14 09:36:43.000000000
CSX,TAO,MU ,6408 ,2022/08/14 00:00:00.000000000,D,1960,C,CNY       ,2022/08/14 09:36:43.000000000
CSX,TAO,MU ,6408 ,2022/08/14 00:00:00.000000000,E,1050,Y,CNY       ,2022/08/14 09:36:43.000000000
CSX,TAO,MU ,6408 ,2022/08/14 00:00:00.000000000,F,3320,F,CNY       ,2022/08/14 09:36:43.000000000
CSX,TAO,MU ,6408 ,2022/08/14 00:00:00.000000000,G,0,Y,CNY       ,2022/08/14 09:36:43.000000000
CSX,TAO,MU ,6408 ,2022/08/14 00:00:00.000000000,H,0,Y,CNY       ,2022/08/14 09:36:43.000000000
CSX,TAO,MU ,6408 ,2022/08/14 00:00:00.000000000,I,1130,C,CNY       ,2022/08/14 09:36:43.000000000
CSX,TAO,MU ,6408 ,2022/08/14 00:00:00.000000000,J,2990,C,CNY       ,2022/08/14 09:36:43.000000000
CSX,TAO,MU ,6408 ,2022/08/14 00:00:00.000000000,K,930,Y,CNY       ,2022/08/14 09:36:43.000000000
CSX,TAO,MU ,6408 ,2022/08/14 00:00:00.000000000,L,850,Y,CNY       ,2022/08/14 09:36:43.000000000
CSX,TAO,MU ,6408 ,2022/08/14 00:00:00.000000000,M,1200,Y,CNY       ,2022/08/14 09:36:43.000000000
CSX,TAO,MU ,6408 ,2022/08/14 00:00:00.000000000,N,770,Y,CNY       ,2022/08/14 09:36:43.000000000
CSX,TAO,MU ,6408 ,2022/08/14 00:00:00.000000000,O,0,C,CNY       ,2022/08/14 09:36:43.000000000
CSX,TAO,MU ,6408 ,2022/08/14 00:00:00.000000000,P,604,F,CNY       ,2022/08/14 09:36:43.000000000
CSX,TAO,MU ,6408 ,2022/08/14 00:00:00.000000000,Q,1190,C,CNY       ,2022/08/14 09:36:43.000000000
CSX,TAO,MU ,6408 ,2022/08/14 00:00:00.000000000,R,670,Y,CNY       ,2022/08/14 09:36:43.000000000
CSX,TAO,MU ,6408 ,2022/08/14 00:00:00.000000000,S,590,Y,CNY       ,2022/08/14 09:36:43.000000000
CSX,TAO,MU ,6408 ,2022/08/14 00:00:00.000000000,T,470,Y,CNY       ,2022/08/14 09:36:43.000000000
CSX,TAO,MU ,6408 ,2022/08/14 00:00:00.000000000,U,3020,F,CNY       ,2022/08/14 09:36:43.000000000
CSX,TAO,MU ,6408 ,2022/08/14 00:00:00.000000000,V,510,Y,CNY       ,2022/08/14 09:36:43.000000000
CSX,TAO,MU ,6408 ,2022/08/14 00:00:00.000000000,W,1510,Y,CNY       ,2022/08/14 09:36:43.000000000
CSX,TAO,MU ,6408 ,2022/08/14 00:00:00.000000000,X,0,Y,CNY       ,2022/08/14 09:36:43.000000000
CSX,TAO,MU ,6408 ,2022/08/14 00:00:00.000000000,Y,1510,Y,CNY       ,2022/08/14 09:36:43.000000000
CSX,TAO,MU ,6408 ,2022/08/14 00:00:00.000000000,Z,390,Y,CNY       ,2022/08/14 09:36:43.000000000
CSX,TAO,MU ,6408 ,2022/08/15 00:00:00.000000000,A,0,F,CNY       ,2022/08/15 09:41:09.000000000
CSX,TAO,MU ,6408 ,2022/08/15 00:00:00.000000000,B,1360,Y,CNY       ,2022/08/15 09:41:09.000000000
CSX,TAO,MU ,6408 ,2022/08/15 00:00:00.000000000,C,2110,C,CNY       ,2022/08/15 09:41:09.000000000
CSX,TAO,MU ,6408 ,2022/08/15 00:00:00.000000000,D,1960,C,CNY       ,2022/08/15 09:41:09.000000000
CSX,TAO,MU ,6408 ,2022/08/15 00:00:00.000000000,E,1050,Y,CNY       ,2022/08/15 09:41:09.000000000
CSX,TAO,MU ,6408 ,2022/08/15 00:00:00.000000000,F,3320,F,CNY       ,2022/08/15 09:41:09.000000000
CSX,TAO,MU ,6408 ,2022/08/15 00:00:00.000000000,G,0,Y,CNY       ,2022/08/15 09:41:09.000000000
CSX,TAO,MU ,6408 ,2022/08/15 00:00:00.000000000,H,0,Y,CNY       ,2022/08/15 09:41:09.000000000
CSX,TAO,MU ,6408 ,2022/08/15 00:00:00.000000000,I,1140,C,CNY       ,2022/08/15 09:41:09.000000000
CSX,TAO,MU ,6408 ,2022/08/15 00:00:00.000000000,J,2990,C,CNY       ,2022/08/15 09:41:09.000000000
CSX,TAO,MU ,6408 ,2022/08/15 00:00:00.000000000,K,930,Y,CNY       ,2022/08/15 09:41:09.000000000
CSX,TAO,MU ,6408 ,2022/08/15 00:00:00.000000000,L,850,Y,CNY       ,2022/08/15 09:41:09.000000000
CSX,TAO,MU ,6408 ,2022/08/15 00:00:00.000000000,M,1200,Y,CNY       ,2022/08/15 09:41:09.000000000
CSX,TAO,MU ,6408 ,2022/08/15 00:00:00.000000000,N,770,Y,CNY       ,2022/08/15 09:41:09.000000000
CSX,TAO,MU ,6408 ,2022/08/15 00:00:00.000000000,O,0,C,CNY       ,2022/08/15 09:41:09.000000000
CSX,TAO,MU ,6408 ,2022/08/15 00:00:00.000000000,P,604,F,CNY       ,2022/08/15 09:41:09.000000000
CSX,TAO,MU ,6408 ,2022/08/15 00:00:00.000000000,Q,1190,C,CNY       ,2022/08/15 09:41:09.000000000
CSX,TAO,MU ,6408 ,2022/08/15 00:00:00.000000000,R,670,Y,CNY       ,2022/08/15 09:41:09.000000000
CSX,TAO,MU ,6408 ,2022/08/15 00:00:00.000000000,S,590,Y,CNY       ,2022/08/15 09:41:09.000000000
CSX,TAO,MU ,6408 ,2022/08/15 00:00:00.000000000,T,470,Y,CNY       ,2022/08/15 09:41:09.000000000
CSX,TAO,MU ,6408 ,2022/08/15 00:00:00.000000000,U,3020,F,CNY       ,2022/08/15 09:41:09.000000000
CSX,TAO,MU ,6408 ,2022/08/15 00:00:00.000000000,V,510,Y,CNY       ,2022/08/15 09:41:09.000000000
CSX,TAO,MU ,6408 ,2022/08/15 00:00:00.000000000,W,1510,Y,CNY       ,2022/08/15 09:41:09.000000000
CSX,TAO,MU ,6408 ,2022/08/15 00:00:00.000000000,X,0,Y,CNY       ,2022/08/15 09:41:09.000000000
CSX,TAO,MU ,6408 ,2022/08/15 00:00:00.000000000,Y,1510,Y,CNY       ,2022/08/15 09:41:09.000000000
CSX,TAO,MU ,6408 ,2022/08/15 00:00:00.000000000,Z,390,Y,CNY       ,2022/08/15 09:41:09.000000000
CSX,TAO,MU ,6408 ,2022/08/16 00:00:00.000000000,A,0,F,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6408 ,2022/08/16 00:00:00.000000000,B,1360,Y,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6408 ,2022/08/16 00:00:00.000000000,C,2110,C,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6408 ,2022/08/16 00:00:00.000000000,D,1960,C,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6408 ,2022/08/16 00:00:00.000000000,E,1050,Y,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6408 ,2022/08/16 00:00:00.000000000,F,3320,F,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6408 ,2022/08/16 00:00:00.000000000,G,0,Y,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6408 ,2022/08/16 00:00:00.000000000,H,0,Y,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6408 ,2022/08/16 00:00:00.000000000,I,1140,C,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6408 ,2022/08/16 00:00:00.000000000,J,2990,C,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6408 ,2022/08/16 00:00:00.000000000,K,930,Y,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6408 ,2022/08/16 00:00:00.000000000,L,850,Y,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6408 ,2022/08/16 00:00:00.000000000,M,1200,Y,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6408 ,2022/08/16 00:00:00.000000000,N,770,Y,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6408 ,2022/08/16 00:00:00.000000000,O,0,C,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6408 ,2022/08/16 00:00:00.000000000,P,604,F,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6408 ,2022/08/16 00:00:00.000000000,Q,1194,C,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6408 ,2022/08/16 00:00:00.000000000,R,670,Y,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6408 ,2022/08/16 00:00:00.000000000,S,590,Y,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6408 ,2022/08/16 00:00:00.000000000,T,470,Y,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6408 ,2022/08/16 00:00:00.000000000,U,3020,F,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6408 ,2022/08/16 00:00:00.000000000,V,510,Y,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6408 ,2022/08/16 00:00:00.000000000,W,1510,Y,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6408 ,2022/08/16 00:00:00.000000000,X,0,Y,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6408 ,2022/08/16 00:00:00.000000000,Y,1510,Y,CNY       ,2022/08/16 09:38:44.000000000
CSX,TAO,MU ,6408 ,2022/08/16 00:00:00.000000000,Z,390,Y,CNY       ,2022/08/16 09:38:44.000000000
HFE,INC,MU ,6401 ,2022/08/09 00:00:00.000000000,A,0,F,CNY       ,2022/08/09 09:35:10.000000000
HFE,INC,MU ,6401 ,2022/08/09 00:00:00.000000000,B,1290,Y,CNY       ,2022/08/09 09:35:10.000000000
HFE,INC,MU ,6401 ,2022/08/09 00:00:00.000000000,C,2250,C,CNY       ,2022/08/09 09:35:10.000000000
HFE,INC,MU ,6401 ,2022/08/09 00:00:00.000000000,D,1930,C,CNY       ,2022/08/09 09:35:10.000000000
HFE,INC,MU ,6401 ,2022/08/09 00:00:00.000000000,E,1000,Y,CNY       ,2022/08/09 09:35:10.000000000
HFE,INC,MU ,6401 ,2022/08/09 00:00:00.000000000,F,3580,F,CNY       ,2022/08/09 09:35:10.000000000
HFE,INC,MU ,6401 ,2022/08/09 00:00:00.000000000,G,0,Y,CNY       ,2022/08/09 09:35:10.000000000
